TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT,TEXT,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with,prerequisites,corequisites
MATH,431,MATHEMATICAL BIOLOGY,3,1,0,0,0,,,
MATH,432,SPATIAL STATISTICS,3,1,1,0,0,,MATH424&MATH332&MATH335,
MATH,436,ADVANCED STATISTICAL MODELING,3,1,0,0,0,,MATH332&MATH335&MATH424,
MATH,437,MULTIVARIATE ANALYSIS,3,1,0,0,0,,(MATH335|MATH201)&(MATH332|MATH342)&MATH424,
MATH,438,STOCHASTIC MODELS,3,1,0,0,0,,MATH332&MATH334,
MATH,439,SURVIVAL ANALYSIS,3,,,,,,MATH335,
MATH,440,PARALLEL SCIENTIFIC COMPUTING,3,,,,,CSCI440,,
MATH,454,COMPLEX ANALYSIS,3,1,0,0,0,,,
MATH,455,PARTIAL DIFFERENTIAL EQUATIONS,3,1,1,0,0,,,
MATH,457,INTEGRAL EQUATIONS,3,1,0,0,0,,,
MATH,458,ABSTRACT ALGEBRA,3,1,0,0,0,,,
MATH,459,ASYMPTOTICS,3,,,,,MATH559,,
MATH,470,MATHEMATICAL MODELING OF SPATIAL PROCESSES IN BIOLOGY,3,1,0,0,0,,,
MATH,472,MATHEMATICAL AND COMPUTATIONAL NEUROSCIENCE,3,1,0,0,0,,,
MATH,482,STATISTICS PRACTICUM (CAPSTONE),4,1,0,0,0,,,
MATH,484,MATHEMATICAL AND COMPUTATIONAL MODELING (CAPSTONE),4,1,0,0,0,,,
MATH,491,UNDERGRADUATE RESEARCH,,1,0,0,0,,,
MATH,492,UNDERGRADUATE RESEARCH,,1,0,0,0,,,
MATH,498,SPECIAL TOPICS,,1,1,0,0,,,
MATH,499,INDEPENDENT STUDY,,1,1,0,0,,,
CBEN,110,FUNDAMENTALS OF BIOLOGY I,4,,,,,BIOL110,,
