TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with
CBEN,350,HONORS UNDERGRADUATE RESEARCH,,,,,,
CBEN,351,HONORS UNDERGRADUATE RESEARCH,,,,,,
CBEN,357,CHEMICAL ENGINEERING THERMODYNAMICS, 3.0,1,0,0,0,
CBEN,358,CHEMICAL ENGINEERING THERMODYNAMICS LABORATORY, 1.0,1,0,0,0,
CBEN,360,BIOPROCESS ENGINEERING, 3.0,,,,,
CBEN,365,INTRODUCTION TO CHEMICAL ENGINEERING PRACTICE, 3.0,1,0,0,0,
CBEN,368,INTRODUCTION TO UNDERGRADUATE RESEARCH, 1.0,,,,,
CBEN,372,INTRODUCTION TO BIOENERGY, 3.0,,,,,
CBEN,375,CHEMICAL ENGINEERING SEPARATIONS, 3.0,1,0,0,0,
CBEN,398,SPECIAL TOPICS,,,,,,
CBEN,399,INDEPENDENT STUDY,,,,,,
CBEN,401,PROCESS OPTIMIZATION, 3.0,,,,,
CBEN,402,CHEMICAL ENGINEERING DESIGN, 3.0,1,0,0,0,
CBEN,403,PROCESS DYNAMICS AND CONTROL, 3.0,1,0,0,0,
CBEN,408,NATURAL GAS PROCESSING, 3.0,,,,,
CBEN,409,PETROLEUM PROCESSES, 3.0,1,0,0,0,
CBEN,411,"NEUROSCIENCE, MEMORY, AND LEARNING", 3.0,,,,,CBEN511
CBEN,412,INTRODUCTION TO PHARMACOLOGY, 3.0,1,0,0,0,
CBEN,413,QUANTITATIVE HUMAN BIOLOGY, 3.0,,,,,
CBEN,414,CHEMICAL PROCESS SAFETY, 1.0,1,0,0,0,
CBEN,415,POLYMER SCIENCE AND TECHNOLOGY, 3.0,,,,,CHGN430&MLGN530
CBEN,416,POLYMER ENGINEERING AND TECHNOLOGY, 3.0,,,,,
CBEN,418,KINETICS AND REACTION ENGINEERING, 3.0,,,,,
CBEN,420,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING, 3.0,,,,,
CBEN,422,CHEMICAL ENGINEERING FLOW ASSURANCE, 3.0,1,0,0,0,
CBEN,426,ADVANCED FUNCTIONAL POROUS MATERIALS, 3.0,,,,,
CBEN,430,TRANSPORT PHENOMENA, 3.0,1,0,0,0,
CBEN,431,IMMUNOLOGY FOR ENGINEERS AND SCIENTISTS, 3.0,,,,,
CBEN,432,TRANSPORT PHENOMENA IN BIOLOGICAL SYSTEMS, 3.0,,,,,
CBEN,435,INTERDISCIPLINARY MICROELECTRONICS, 3.0,,,,,MLGN535&PHGN435&PHGN535
CBEN,440,MOLECULAR PERSPECTIVES IN CHEMICAL ENGINEERING, 3.0,,,,,
CBEN,450,HONORS UNDERGRADUATE RESEARCH,,,,,,
CBEN,451,HONORS UNDERGRADUATE RESEARCH,,,,,,
CBEN,454,APPLIED BIOINFORMATICS, 3.0,1,0,0,0,
