TEXT,INTEGER,TEXT,NUMERIC(4|2),NUMERIC(4|2),NUMERIC(4|2),TEXT
department,course_number,course_name,lecture_hours,lab_hours,credit_hours,substitutes
CSCI,261,PROGRAMMING CONCEPTS,,,3,
CSCI,262,DATA STRUCTURES,,,3,
CSCI,274,INTRODUCTION TO THE LINUX OPERATING SYSTEM,,,1,
CSCI,384,COMPUTER ORGANIZATION,,,3,
CSCI,442,OPERATING SYSTEMS,,,,
CSCI ELECT,,COMPUTER SCIENCE 400-LEVEL ELECTIVE,,,3,"MATH307,EENG383"
CSCI ELECT,,COMPUTER SCIENCE 400-LEVEL ELECTIVE,,,3,"MATH307,EENG383"
