TEXT,INTEGER,TEXT,NUMERIC(4|2),NUMERIC(4|2),NUMERIC(4|2),TEXT
department,course_number,course_name,lecture_hours,lab_hours,credit_hours,substitutes
CSCI,403,DATA BASE MANAGEMENT,,,3,
CSCI,404,ARTIFICIAL INTELLIGENCE,,,3,
CSCI,470,INTRODUCTION TO MACHINE LEARNING,,,3,
